x,y,theta
-0.300459,-0.017552,-3.097825
-0.350362,-0.020652,-3.078911
-0.400262,-0.023816,-3.077318
-0.450156,-0.027075,-3.075031
-0.500041,-0.030468,-3.072020
-0.549914,-0.034026,-3.068321
-0.599772,-0.037788,-3.063770
-0.649611,-0.041801,-3.058075
-0.699423,-0.046130,-3.050802
-0.749198,-0.050867,-3.041374
-0.798920,-0.056135,-3.029060
-0.848563,-0.062097,-3.012993
-0.898090,-0.068959,-2.992192
-0.947442,-0.076980,-2.965614
-0.996535,-0.086464,-2.932236
-1.045242,-0.097760,-2.891157
-1.093390,-0.111241,-2.841730
-1.140745,-0.127288,-2.783708
-1.187009,-0.146253,-2.717379
-1.231825,-0.168423,-2.643665
-1.274800,-0.193978,-2.564146
-1.315539,-0.222965,-2.480975
-1.353690,-0.255283,-2.396677
-1.388987,-0.290694,-2.313862
-1.421287,-0.328860,-2.234903
-1.450577,-0.369382,-2.161661
-1.476960,-0.411854,-2.095318
-1.500631,-0.455895,-2.036333
-1.521833,-0.501177,-1.984519
-1.540821,-0.547431,-1.939192
-1.557837,-0.594446,-1.899365
-1.573085,-0.642064,-1.863938
-1.586729,-0.690166,-1.831856
-1.598892,-0.738664,-1.802231
-1.609664,-0.787490,-1.774407
-1.619111,-0.836589,-1.747976
-1.627288,-0.885916,-1.722762
-1.634248,-0.935429,-1.698772
-1.640049,-0.985091,-1.676133
-1.644761,-1.034868,-1.655034
-1.648463,-1.084731,-1.635667
-1.651243,-1.134654,-1.618185
-1.653200,-1.184615,-1.602673
-1.654430,-1.234600,-1.589134
-1.655033,-1.284597,-1.577495
-1.655100,-1.334596,-1.567621
-1.654716,-1.384595,-1.559334
-1.653954,-1.434589,-1.552455
-1.652882,-1.484578,-1.546833
-1.651558,-1.534560,-1.542382
-1.650041,-1.584537,-1.539117
-1.648391,-1.634510,-1.537173
-1.646679,-1.684481,-1.536818
-1.644993,-1.734452,-1.538451
-1.643445,-1.784428,-1.542579
-1.642172,-1.834412,-1.549776
-1.641343,-1.884405,-1.560633
-1.641156,-1.934405,-1.575683
-1.641832,-1.984400,-1.595328
-1.643608,-2.034368,-1.619764
-1.646726,-2.084271,-1.648912
-1.651411,-2.134050,-1.682369
-1.657858,-2.183633,-1.719383
-1.666212,-2.232929,-1.758868
-1.676551,-2.281848,-1.799453
-1.688874,-2.330306,-1.839562
-1.703100,-2.378239,-1.877535
-1.719064,-2.425621,-1.911743
-1.736533,-2.472470,-1.940718
-1.755215,-2.518849,-1.963251
-1.774777,-2.564863,-1.978470
-1.794862,-2.610652,-1.985885
-1.815104,-2.656371,-1.985403
-1.835145,-2.702179,-1.977313
-1.854645,-2.748220,-1.962246
-1.873296,-2.794611,-1.941111
-1.890833,-2.841434,-1.915001
-1.907037,-2.888735,-1.885086
-1.921743,-2.936523,-1.852495
-1.934832,-2.984779,-1.818194
-1.946227,-3.033463,-1.782883
-1.955878,-3.082523,-1.746927
-1.963746,-3.131899,-1.710324
-1.969784,-3.181533,-1.672727
-1.973920,-3.231361,-1.633499
-1.976048,-3.281315,-1.591815
-1.976021,-3.331315,-1.546780
-1.973648,-3.381257,-1.497555
-1.968706,-3.431012,-1.443472
-1.960955,-3.480406,-1.384119
-1.950156,-3.529224,-1.319391
-1.936093,-3.577204,-1.249495
-1.918598,-3.624041,-1.174909
-1.897561,-3.669398,-1.096313
-1.872949,-3.712918,-1.014500
-1.844805,-3.754241,-0.930293
-1.813247,-3.793020,-0.844482
-1.778459,-3.828929,-0.757809
-1.740686,-3.861683,-0.670973
-1.700217,-3.891041,-0.584669
-1.657379,-3.916821,-0.499625
-1.612524,-3.938905,-0.416613
-1.566015,-3.957251,-0.336437
-1.518209,-3.971891,-0.259867
-1.469444,-3.982927,-0.187549
-1.420027,-3.990524,-0.119917
-1.370219,-3.994883,-0.057102
-1.320239,-3.996228,0.001103
-1.270262,-3.994773,0.055237
-1.220429,-3.990709,0.106105
-1.170857,-3.984186,0.154670
-1.121653,-3.975308,0.201904
-1.072918,-3.964138,0.248636
-1.024757,-3.950707,0.295407
-0.977278,-3.935034,0.342354
-0.930588,-3.917147,0.389158
-0.884782,-3.897104,0.435048
-0.839929,-3.875013,0.478880
-0.796053,-3.851037,0.519274
-0.753128,-3.825398,0.554781
-0.711064,-3.798369,0.584068
-0.669713,-3.770261,0.606074
-0.628878,-3.741407,0.620132
-0.588333,-3.712147,0.626028
-0.547842,-3.682814,0.624016
-0.507180,-3.653718,0.614782
-0.466154,-3.625137,0.599364
-0.424614,-3.597308,0.579060
-0.382462,-3.570417,0.555307
-0.339648,-3.544593,0.529576
-0.296168,-3.519905,0.503260
-0.252055,-3.496369,0.477605
-0.207366,-3.473944,0.453655
-0.162176,-3.452546,0.432238
-0.116568,-3.432056,0.413979
-0.070626,-3.412322,0.399328
-0.024437,-3.393177,0.388614
0.021916,-3.374432,0.382087
0.068351,-3.355891,0.379957
0.114784,-3.337344,0.382423
0.161127,-3.318574,0.389676
0.207286,-3.299356,0.401882
0.253157,-3.279460,0.419155
0.298624,-3.258659,0.441503
0.343560,-3.236734,0.468788
0.387825,-3.213484,0.500679
0.431272,-3.188740,0.536633
0.473752,-3.162370,0.575902
0.515123,-3.134293,0.617570
0.555260,-3.104479,0.660618
0.594064,-3.072948,0.704020
0.631465,-3.039766,0.746836
0.667430,-3.005033,0.788297
0.701955,-2.968867,0.827867
0.735061,-2.931399,0.865268
0.766787,-2.892754,0.900462
0.797176,-2.853050,0.933600
0.826273,-2.812388,0.964952
0.854115,-2.770858,0.994815
0.880732,-2.728532,1.023432
0.906153,-2.685477,1.050925
0.930404,-2.641753,1.077248
0.953524,-2.597419,1.102171
0.975567,-2.552541,1.125291
0.996612,-2.507186,1.146071
1.016772,-2.461430,1.163884
1.036189,-2.415355,1.178082
1.055041,-2.369045,1.188046
1.073536,-2.322591,1.193246
1.091905,-2.276088,1.193281
1.110397,-2.229633,1.187907
1.129265,-2.183330,1.177065
1.148760,-2.137287,1.160882
1.169116,-2.091619,1.139680
1.190545,-2.046444,1.113969
1.213222,-2.001883,1.084430
1.237280,-1.958052,1.051895
1.262806,-1.915060,1.017317
1.289836,-1.872997,0.981720
1.318356,-1.831929,0.946158
1.348307,-1.791893,0.911649
1.379591,-1.752890,0.879127
1.412081,-1.714885,0.849384
1.445628,-1.677811,0.823038
1.480075,-1.641570,0.800511
1.515258,-1.606044,0.782038
1.551020,-1.571100,0.767691
1.587208,-1.536598,0.757438
1.623679,-1.502394,0.751206
1.660295,-1.468346,0.748961
1.696919,-1.434306,0.750775
1.733411,-1.400125,0.756884
1.769616,-1.365641,0.767712
1.805359,-1.330678,0.783864
1.840432,-1.295042,0.806085
1.874586,-1.258526,0.835175
1.907526,-1.220912,0.871885
1.938909,-1.181990,0.916785
1.968343,-1.141574,0.970127
1.995402,-1.099532,1.031719
2.019647,-1.055807,1.100825
2.040655,-1.010439,1.176123
2.058065,-0.963572,1.255755
2.071613,-0.915447,1.337471
2.081165,-0.866372,1.418862
2.086734,-0.816687,1.497681
2.088464,-0.766721,1.572158
2.086598,-0.716758,1.641197
2.081434,-0.667028,1.704508
2.073273,-0.617701,1.762638
2.062376,-0.568905,1.816804
2.048929,-0.520748,1.868670
