x,y,theta
-2.5966,-7.5693,-1.3780
-2.5913,-7.5963,-1.3765
-2.5874,-7.6162,-1.3775
-2.5832,-7.6376,-1.3787
-2.5790,-7.6596,-1.3829
-2.5748,-7.6823,-1.3852
-2.5704,-7.7055,-1.3875
-2.5638,-7.7410,-1.3893
-2.5549,-7.7894,-1.3890
-2.5478,-7.8269,-1.3840
-2.5432,-7.8512,-1.3857
-2.5386,-7.8758,-1.3860
-2.5340,-7.9006,-1.3880
-2.5294,-7.9251,-1.3880
-2.5248,-7.9500,-1.3890
-2.5201,-7.9751,-1.3905
-2.5155,-8.0000,-1.3922
-2.5110,-8.0251,-1.3918
-2.5064,-8.0501,-1.3897
-2.5017,-8.0754,-1.3892
-2.4973,-8.1000,-1.3915
-2.4905,-8.1475,-1.3923
-2.4860,-8.1724,-1.3942
-2.3300,-8.5196,-0.9328
-2.2945,-8.5462,-0.9189
-2.2776,-8.5591,-0.9131
-2.2612,-8.5795,-0.8631
-2.2435,-8.5930,-0.8016
-2.2252,-8.6067,-0.7872
-2.2071,-8.6248,-0.7794
-2.1890,-8.6426,-0.7446
-2.1705,-8.6595,-0.7518
-2.1526,-8.6760,-0.7448
-2.1332,-8.6932,-0.6956
-2.1134,-8.7100,-0.7011
-2.0933,-8.7265,-0.6508
-2.0637,-8.7505,-0.5460
-2.0369,-8.7648,-0.4584
-2.0145,-8.7750,-0.4209
-1.9889,-8.7864,-0.3782
-1.9632,-8.7954,-0.3000
-1.9373,-8.8024,-0.2179
-1.9083,-8.7984,-0.0849
-1.8841,-8.7995,-0.0153
-1.8594,-8.7934,-0.0016
-1.8334,-8.7890,0.0868
-1.6400,-8.7612,0.1788
-1.6012,-8.7569,0.1798
-1.5719,-8.7525,0.1863
-1.5488,-8.7481,0.1818
-1.5258,-8.7367,0.1809
-1.5016,-8.7299,0.1753
-1.4765,-8.7260,0.1430
-1.4510,-8.7206,0.1552
-1.4243,-8.7169,0.1209
-1.4000,-8.7136,0.1268
-1.3763,-8.7101,0.1429
-1.3491,-8.7065,0.1135
-1.3240,-8.7111,0.1115
-1.2993,-8.7106,0.1087
-1.2750,-8.7079,0.1058
-1.2511,-8.7053,0.1030
-1.2267,-8.7028,0.0974
-1.2020,-8.7003,0.0935
-1.1745,-8.6966,0.0940
-1.1497,-8.6942,0.0921
-1.1171,-8.6841,0.0896
-1.0898,-8.6796,0.0861
-1.0646,-8.6774,0.0823
-1.0391,-8.6752,0.0809
-1.0135,-8.6731,0.0796
-0.9879,-8.6710,0.0784
-0.9631,-8.6691,0.0768
-0.9379,-8.6671,0.0743
-0.9110,-8.6649,0.0918
-0.8774,-8.6545,0.0921
-0.8511,-8.6503,0.0895
-0.8262,-8.6481,0.0892
-0.8014,-8.6559,0.0861
-0.7761,-8.6537,0.0872
-0.7509,-8.6516,0.0845
-0.7233,-8.6485,0.0778
-0.6981,-8.6464,0.0781
-0.6729,-8.6443,0.0815
-0.6476,-8.6422,0.0842
-0.6222,-8.6400,0.0812
