x,y,theta
-2.1824,-2.3733,-0.0228
-2.1522,-2.3740,-0.0241
-2.1268,-2.3746,-0.0258
-2.1014,-2.3753,-0.0254
-2.0767,-2.3759,-0.0258
-2.0107,-2.3766,-0.0252
-1.9902,-2.3771,-0.0247
-1.9532,-2.3781,-0.0252
-1.9261,-2.3788,-0.0277
-1.8878,-2.3799,-0.0291
-1.8627,-2.3806,-0.0302
-1.8243,-2.3818,-0.0315
-1.7985,-2.3826,-0.0322
-1.7603,-2.3837,-0.0383
-1.7345,-2.3846,-0.0395
-1.6957,-2.3858,-0.0384
-1.6694,-2.3867,-0.0385
-1.6500,-2.3779,-0.0337
-1.6241,-2.3787,-0.0328
-1.5852,-2.3799,-0.0327
-1.5590,-2.3806,-0.0335
-1.5334,-2.3815,-0.0333
-1.5073,-2.3823,-0.0344
-1.4815,-2.3831,-0.0337
-1.4355,-2.3840,-0.0385
-1.4092,-2.3849,-0.0387
-1.3702,-2.3864,-0.0390
-1.3437,-2.3875,-0.0393
-1.3049,-2.3890,-0.0394
-1.2784,-2.3900,-0.0402
-1.2393,-2.3919,-0.0428
-1.2131,-2.3931,-0.0421
-1.1742,-2.3948,-0.0432
-1.1474,-2.3961,-0.0435
-1.1082,-2.3980,-0.0456
-1.0818,-2.3992,-0.0472
-1.0233,-2.3910,-0.0481
-0.9967,-2.3924,-0.0510
-0.9570,-2.3945,-0.0442
-0.9295,-2.3954,-0.0137
-0.8883,-2.3950,0.0428
-0.8613,-2.3935,0.0804
-0.8511,-2.3859,0.1910
-0.8264,-2.3809,0.2315
-0.8021,-2.3750,0.2448
-0.7745,-2.3693,0.1160
-0.7529,-2.3669,0.1083
-0.7277,-2.3641,0.1125
-0.6905,-2.3599,0.1143
-0.6658,-2.3565,0.1279
-0.6408,-2.3534,0.1251
-0.6157,-2.3504,0.1227
-0.5782,-2.3459,0.1194
-0.5527,-2.3429,0.1168
-0.5143,-2.3386,0.1151
-0.4709,-2.3360,0.1076
-0.4372,-2.3324,0.1135
-0.4121,-2.3298,0.1091
-0.3726,-2.3258,0.1065
-0.3471,-2.3232,0.1039
-0.3091,-2.3095,0.0974
-0.2833,-2.3071,0.0957
-0.2448,-2.3035,0.0944
-0.2192,-2.3012,0.0936
-0.1804,-2.2976,0.0923
-0.1548,-2.2953,0.0933
-0.1148,-2.2916,0.1009
-0.0882,-2.2886,0.1230
-0.0476,-2.2826,0.1748
-0.0202,-2.2774,0.2105
0.0189,-2.2679,0.2686
0.0435,-2.2606,0.3094
0.0635,-2.2410,0.3925
0.0666,-2.2423,0.3188
0.0868,-2.2358,0.3168
0.1102,-2.2281,0.3162
0.1461,-2.2164,0.3133
0.1700,-2.2086,0.3139
0.1983,-2.1994,0.3141
0.2406,-2.1817,0.3301
0.2778,-2.1678,0.3862
0.3024,-2.1575,0.4186
0.3386,-2.1403,0.4743
0.3618,-2.1280,0.5130
0.3945,-2.0851,0.6158
0.4159,-2.0693,0.6564
0.4464,-2.0441,0.7255
0.4656,-2.0262,0.7716
0.4911,-1.9998,0.8271
0.5062,-1.9836,0.8447
0.5305,-1.9542,0.9297
0.5457,-1.9331,0.9799
0.5667,-1.9001,1.0507
0.5796,-1.8771,1.0964
0.5965,-1.8419,1.1682
0.6060,-1.8274,1.2245
0.6188,-1.7896,1.2862
0.6249,-1.7668,1.3267
0.6294,-1.7464,1.3339
0.6365,-1.7213,1.2967
0.6574,-1.6983,1.1722
0.6680,-1.6741,1.1558
0.6846,-1.6389,1.1140
0.6964,-1.6159,1.0832
0.7077,-1.5935,1.0795
0.7081,-1.5728,1.1698
0.7203,-1.5432,1.2372
0.7285,-1.5186,1.2775
0.7391,-1.4808,1.3319
0.7428,-1.4463,1.4048
0.7455,-1.4253,1.4150
0.7504,-1.3994,1.4062
0.7452,-1.3994,1.3592
0.7508,-1.3744,1.3580
0.7561,-1.3498,1.3566
0.7614,-1.3257,1.3561
0.7680,-1.2948,1.3567
0.7728,-1.2737,1.3661
0.7777,-1.2491,1.4125
0.7811,-1.2127,1.4529
0.7839,-1.1862,1.4883
0.7857,-1.1597,1.5249
0.7866,-1.1333,1.5665
0.7862,-1.1104,1.6046
0.7839,-1.0800,1.6531
0.7831,-1.0569,1.6319
0.7830,-1.0361,1.5864
0.7827,-1.0110,1.5871
0.7822,-0.9856,1.5877
0.7817,-0.9609,1.5879
0.7810,-0.9391,1.5882
0.7807,-0.9076,1.5882
0.7804,-0.8830,1.5863
