x,y,theta
-2.1866,-2.3684,-0.0475
-2.1341,-2.3709,-0.0454
-2.0819,-2.3732,-0.0431
-2.0299,-2.3755,-0.0406
-1.9780,-2.3776,-0.0380
-1.9264,-2.3795,-0.0353
-1.8750,-2.3814,-0.0323
-1.8237,-2.3830,-0.0292
-1.7726,-2.3845,-0.0260
-1.7216,-2.3858,-0.0225
-1.6708,-2.3870,-0.0189
-1.6201,-2.3879,-0.0152
-1.5695,-2.3887,-0.0113
-1.5190,-2.3893,-0.0072
-1.4686,-2.3896,-0.0030
-1.4182,-2.3898,0.0014
-1.3680,-2.3897,0.0059
-1.3177,-2.3894,0.0105
-1.2675,-2.3889,0.0153
-1.2173,-2.3881,0.0202
-1.1672,-2.3871,0.0253
-1.1170,-2.3858,0.0305
-1.0668,-2.3843,0.0358
-1.0166,-2.3825,0.0413
-0.9663,-2.3804,0.0468
-0.9160,-2.3781,0.0525
-0.8657,-2.3754,0.0583
-0.8152,-2.3725,0.0642
-0.7647,-2.3692,0.0701
-0.7140,-2.3657,0.0762
-0.6633,-2.3618,0.0823
-0.6124,-2.3576,0.0886
-0.5614,-2.3531,0.0948
-0.5102,-2.3482,0.1012
-0.4589,-2.3430,0.1077
-0.4074,-2.3374,0.1157
-0.3557,-2.3314,0.1262
-0.3041,-2.3249,0.1393
-0.2526,-2.3176,0.1552
-0.2013,-2.3096,0.1738
-0.1503,-2.3007,0.1953
-0.0997,-2.2907,0.2199
-0.0497,-2.2795,0.2476
-0.0004,-2.2670,0.2786
0.0481,-2.2531,0.3131
0.0958,-2.2377,0.3512
0.1425,-2.2206,0.3931
0.1881,-2.2017,0.4388
0.2324,-2.1809,0.4883
0.2754,-2.1580,0.5417
0.3170,-2.1330,0.5987
0.3571,-2.1057,0.6592
0.3954,-2.0760,0.7212
0.4320,-2.0438,0.7809
0.4669,-2.0092,0.8376
0.4999,-1.9725,0.8915
0.5312,-1.9339,0.9428
0.5606,-1.8933,0.9918
0.5882,-1.8511,1.0385
0.6139,-1.8074,1.0834
0.6378,-1.7624,1.1266
0.6598,-1.7162,1.1684
0.6798,-1.6691,1.2091
0.6980,-1.6211,1.2488
0.7142,-1.5724,1.2879
0.7285,-1.5232,1.3266
0.7409,-1.4737,1.3652
0.7512,-1.4241,1.4038
0.7596,-1.3745,1.4409
0.7661,-1.3249,1.4750
0.7708,-1.2754,1.5056
0.7741,-1.2259,1.5326
0.7759,-1.1764,1.5560
0.7767,-1.1268,1.5756
0.7764,-1.0773,1.5915
0.7754,-1.0276,1.6035
0.7738,-0.9779,1.6118
0.7717,-0.9281,1.6163
0.7695,-0.8781,1.6170
0.7671,-0.8280,1.6140
0.7650,-0.7777,1.6074
0.7631,-0.7271,1.5972
0.7618,-0.6764,1.5841
0.7611,-0.6253,1.5725
0.7610,-0.5741,1.5640
0.7614,-0.5227,1.5585
0.7620,-0.4712,1.5559
0.7628,-0.4197,1.5563
0.7635,-0.3681,1.5597
0.7641,-0.3166,1.5660
0.7643,-0.2652,1.5753
0.7641,-0.2140,1.5877
0.7632,-0.1629,1.6032
0.7616,-0.1121,1.6219
0.7590,-0.0616,1.6439
0.7553,-0.0115,1.6693
0.7504,0.0382,1.6981
0.7441,0.0874,1.7306
0.7363,0.1361,1.7666
0.7267,0.1843,1.8063
0.7153,0.2318,1.8490
0.7019,0.2786,1.8942
0.6865,0.3246,1.9419
0.6690,0.3697,1.9921
0.6493,0.4137,2.0449
0.6273,0.4565,2.1002
0.6030,0.4980,2.1580
0.5763,0.5381,2.2180
0.5471,0.5767,2.2799
0.5155,0.6136,2.3391
0.4814,0.6489,2.3922
0.4451,0.6827,2.4392
0.4068,0.7151,2.4804
0.3669,0.7461,2.5162
0.3255,0.7760,2.5468
0.2828,0.8049,2.5725
0.2392,0.8328,2.5936
0.1948,0.8599,2.6102
0.1500,0.8863,2.6226
0.1048,0.9121,2.6309
0.0595,0.9375,2.6351
0.0141,0.9626,2.6353
-0.0310,0.9876,2.6312
-0.0759,1.0128,2.6229
-0.1202,1.0381,2.6103
-0.1640,1.0638,2.5933
-0.2070,1.0901,2.5717
-0.2491,1.1170,2.5453
-0.2901,1.1448,2.5140
-0.3298,1.1737,2.4778
-0.3682,1.2037,2.4364
-0.4051,1.2351,2.3900
-0.4402,1.2680,2.3386
-0.4736,1.3025,2.3386
-0.5361,1.2968,2.8202
-0.5804,1.3115,2.7241
-0.6261,1.3318,2.6658
